Year,Number
1971,2308
1972,3555
1974,6098
1979,29164
1982,135773
1985,273842
1989,1210000
1995,9650000
1998,15260000
1999,21670000
2000,37180000
2001,42550000
2002,55730000
2003,151250000
2004,273840000
2005,305050000
2006,582940000
2007,805840000
2009,2310000000
2013,5000000000
2014,5700000000
2015,10000000000
2017,19200000000
